,year,id_,marital,agewed,divorce,hapmar,zodiac,ballot
21875,1988,1,Married,19,YES,VERY HAPPY,Scorpio,Ballot b
21878,1988,4,Married,26,NO,VERY HAPPY,Leo,Ballot c
21881,1988,7,Married,24,NO,VERY HAPPY,Pisces,Ballot c
21885,1988,11,Married,18,NO,VERY HAPPY,Cancer,Ballot b
21886,1988,12,Married,22,NO,VERY HAPPY,Capricorn,Ballot a
21895,1988,21,Married,22,NO,VERY HAPPY,Cancer,Ballot c
21896,1988,22,Married,27,NO,NOT TOO HAPPY,Cancer,Ballot b
21901,1988,27,Married,25,NO,PRETTY HAPPY,Taurus,Ballot b
21902,1988,28,Married,27,NO,PRETTY HAPPY,Libra,Ballot a
21903,1988,29,Married,23,NO,PRETTY HAPPY,Libra,Ballot c
21910,1988,36,Married,21,NO,PRETTY HAPPY,Capricorn,Ballot c
21912,1988,38,Married,24,NO,PRETTY HAPPY,Cancer,Ballot c
21913,1988,39,Married,20,NO,PRETTY HAPPY,Virgo,Ballot c
21915,1988,41,Married,19,NO,VERY HAPPY,Virgo,Ballot b
21916,1988,42,Married,20,NO,VERY HAPPY,Sagittarius,Ballot b
21917,1988,43,Married,25,NO,VERY HAPPY,Sagittarius,Ballot c
21919,1988,45,Married,25,NO,VERY HAPPY,Scorpio,Ballot a
21920,1988,46,Married,20,NO,VERY HAPPY,Pisces,Ballot b
21921,1988,47,Married,21,NO,VERY HAPPY,Leo,Ballot b
21922,1988,48,Married,26,NO,PRETTY HAPPY,Pisces,Ballot a
21923,1988,49,Married,26,NO,PRETTY HAPPY,Pisces,Ballot b
21924,1988,50,Married,27,NO,VERY HAPPY,Scorpio,Ballot b
21925,1988,51,Married,24,NO,VERY HAPPY,Libra,Ballot c
21927,1988,53,Married,20,NO,PRETTY HAPPY,Capricorn,Ballot a
21929,1988,55,Married,16,YES,VERY HAPPY,Virgo,Ballot c
21930,1988,56,Married,20,NO,PRETTY HAPPY,Sagittarius,Ballot c
21934,1988,60,Married,32,NO,VERY HAPPY,Taurus,Ballot c
21938,1988,64,Married,19,YES,VERY HAPPY,Capricorn,Ballot b
21939,1988,65,Married,30,NO,VERY HAPPY,Virgo,Ballot b
21940,1988,66,Married,32,NO,PRETTY HAPPY,Pisces,Ballot a
21941,1988,67,Married,28,NO,PRETTY HAPPY,Leo,Ballot a
21942,1988,68,Married,22,NO,PRETTY HAPPY,Sagittarius,Ballot c
21944,1988,70,Married,25,NO,VERY HAPPY,Sagittarius,Ballot a
21946,1988,72,Married,22,NO,VERY HAPPY,Aries,Ballot b
21948,1988,74,Married,25,NO,VERY HAPPY,Aries,Ballot b
21952,1988,78,Married,17,NO,VERY HAPPY,Gemini,Ballot c
21953,1988,79,Married,19,NO,VERY HAPPY,Pisces,Ballot b
21954,1988,80,Married,23,YES,VERY HAPPY,Capricorn,Ballot b
21955,1988,81,Married,19,YES,VERY HAPPY,Scorpio,Ballot b
21958,1988,84,Married,24,NO,VERY HAPPY,Taurus,Ballot a
